fact,question,answer,question2,answer2,question3,answer3,question4,answer4,index
Xander Jenkins is Zoe Reed's husband.,Xander Jenkins is Zoe Reed's ,husband,Is Xander Jenkins Zoe Reed's husband?,yes,Is Xander Jenkins Zoe Reed's mother?,no,Who is Xander Jenkins to Zoe Reed?,husband,370
Ronan Foster is Samuel Foster's child.,Ronan Foster is Samuel Foster's ,child,Is Ronan Foster Samuel Foster's child?,yes,Is Ronan Foster Samuel Foster's brother?,no,Who is Ronan Foster to Samuel Foster?,child,371
Patrick Butler is Owen Butler's brother.,Patrick Butler is Owen Butler's ,brother,Is Patrick Butler Owen Butler's brother?,yes,Is Patrick Butler Owen Butler's niece?,no,Who is Patrick Butler to Owen Butler?,brother,372
Vincent Hughes is Vanessa Jenkins's father.,Vincent Hughes is Vanessa Jenkins's ,father,Is Vincent Hughes Vanessa Jenkins's father?,yes,Is Vincent Hughes Vanessa Jenkins's aunt?,no,Who is Vincent Hughes to Vanessa Jenkins?,father,373
Naomi Flores is Oliver Flores's wife.,Naomi Flores is Oliver Flores's ,wife,Is Naomi Flores Oliver Flores's wife?,yes,Is Naomi Flores Oliver Flores's niece?,no,Who is Naomi Flores to Oliver Flores?,wife,374
Scott Gray is Quinn Gray's brother.,Scott Gray is Quinn Gray's ,brother,Is Scott Gray Quinn Gray's brother?,yes,Is Scott Gray Quinn Gray's husband?,no,Who is Scott Gray to Quinn Gray?,brother,375
Steven Martinez is Thomas Martinez's child.,Steven Martinez is Thomas Martinez's ,child,Is Steven Martinez Thomas Martinez's child?,yes,Is Steven Martinez Thomas Martinez's brother?,no,Who is Steven Martinez to Thomas Martinez?,child,376
Sadie Brooks is Shane Gray's wife.,Sadie Brooks is Shane Gray's ,wife,Is Sadie Brooks Shane Gray's wife?,yes,Is Sadie Brooks Shane Gray's uncle?,no,Who is Sadie Brooks to Shane Gray?,wife,377
Tessa Jenkins is Trinity Jenkins's sister.,Tessa Jenkins is Trinity Jenkins's ,sister,Is Tessa Jenkins Trinity Jenkins's sister?,yes,Is Tessa Jenkins Trinity Jenkins's uncle?,no,Who is Tessa Jenkins to Trinity Jenkins?,sister,378
Zoey Jenkins is Xavier Ross's wife.,Zoey Jenkins is Xavier Ross's ,wife,Is Zoey Jenkins Xavier Ross's wife?,yes,Is Zoey Jenkins Xavier Ross's husband?,no,Who is Zoey Jenkins to Xavier Ross?,wife,379
Paul Butler is Owen Butler's father.,Paul Butler is Owen Butler's ,father,Is Paul Butler Owen Butler's father?,yes,Is Paul Butler Owen Butler's child?,no,Who is Paul Butler to Owen Butler?,father,380
Wesley Jenkins is Victoria Jenkins's brother.,Wesley Jenkins is Victoria Jenkins's ,brother,Is Wesley Jenkins Victoria Jenkins's brother?,yes,Is Wesley Jenkins Victoria Jenkins's child?,no,Who is Wesley Jenkins to Victoria Jenkins?,brother,381
Samantha Howard is Spencer Gray's mother.,Samantha Howard is Spencer Gray's ,mother,Is Samantha Howard Spencer Gray's mother?,yes,Is Samantha Howard Spencer Gray's nephew?,no,Who is Samantha Howard to Spencer Gray?,mother,382
Quentin Perry is Raymond Perry's brother.,Quentin Perry is Raymond Perry's ,brother,Is Quentin Perry Raymond Perry's brother?,yes,Is Quentin Perry Raymond Perry's sister?,no,Who is Quentin Perry to Raymond Perry?,brother,383
Sebastian Foster is Reagan Parker's husband.,Sebastian Foster is Reagan Parker's ,husband,Is Sebastian Foster Reagan Parker's husband?,yes,Is Sebastian Foster Reagan Parker's child?,no,Who is Sebastian Foster to Reagan Parker?,husband,384
Nolan Flores is Naomi Flores's child.,Nolan Flores is Naomi Flores's ,child,Is Nolan Flores Naomi Flores's child?,yes,Is Nolan Flores Naomi Flores's father?,no,Who is Nolan Flores to Naomi Flores?,child,385
Nicole Butler is Paul Butler's wife.,Nicole Butler is Paul Butler's ,wife,Is Nicole Butler Paul Butler's wife?,yes,Is Nicole Butler Paul Butler's nephew?,no,Who is Nicole Butler to Paul Butler?,wife,386
Scott Gray is Sean Gray's brother.,Scott Gray is Sean Gray's ,brother,Is Scott Gray Sean Gray's brother?,yes,Is Scott Gray Sean Gray's uncle?,no,Who is Scott Gray to Sean Gray?,brother,387
Penelope Foster is Poppy Perry's child.,Penelope Foster is Poppy Perry's ,child,Is Penelope Foster Poppy Perry's child?,yes,Is Penelope Foster Poppy Perry's nephew?,no,Who is Penelope Foster to Poppy Perry?,child,388
Trinity Jenkins is Vanessa Jenkins's child.,Trinity Jenkins is Vanessa Jenkins's ,child,Is Trinity Jenkins Vanessa Jenkins's child?,yes,Is Trinity Jenkins Vanessa Jenkins's uncle?,no,Who is Trinity Jenkins to Vanessa Jenkins?,child,389
Stephen Martinez is Scarlett Martinez's child.,Stephen Martinez is Scarlett Martinez's ,child,Is Stephen Martinez Scarlett Martinez's child?,yes,Is Stephen Martinez Scarlett Martinez's sister?,no,Who is Stephen Martinez to Scarlett Martinez?,child,390
Melanie Flores is Michael Parker's aunt.,Melanie Flores is Michael Parker's ,aunt,Is Melanie Flores Michael Parker's aunt?,yes,Is Melanie Flores Michael Parker's wife?,no,Who is Melanie Flores to Michael Parker?,aunt,391
Violet Jenkins is Tessa Jenkins's aunt.,Violet Jenkins is Tessa Jenkins's ,aunt,Is Violet Jenkins Tessa Jenkins's aunt?,yes,Is Violet Jenkins Tessa Jenkins's niece?,no,Who is Violet Jenkins to Tessa Jenkins?,aunt,392
Rachel Gray is Scott Gray's sister.,Rachel Gray is Scott Gray's ,sister,Is Rachel Gray Scott Gray's sister?,yes,Is Rachel Gray Scott Gray's husband?,no,Who is Rachel Gray to Scott Gray?,sister,393
Sophia Martinez is Sydney Evans's child.,Sophia Martinez is Sydney Evans's ,child,Is Sophia Martinez Sydney Evans's child?,yes,Is Sophia Martinez Sydney Evans's husband?,no,Who is Sophia Martinez to Sydney Evans?,child,394
Paul Butler is Patrick Butler's father.,Paul Butler is Patrick Butler's ,father,Is Paul Butler Patrick Butler's father?,yes,Is Paul Butler Patrick Butler's child?,no,Who is Paul Butler to Patrick Butler?,father,395
Nathan Flores is Melanie Flores's father.,Nathan Flores is Melanie Flores's ,father,Is Nathan Flores Melanie Flores's father?,yes,Is Nathan Flores Melanie Flores's husband?,no,Who is Nathan Flores to Melanie Flores?,father,396
Sadie Brooks is Simon Gray's mother.,Sadie Brooks is Simon Gray's ,mother,Is Sadie Brooks Simon Gray's mother?,yes,Is Sadie Brooks Simon Gray's aunt?,no,Who is Sadie Brooks to Simon Gray?,mother,397
Zachary Ross is Xavier Ross's father.,Zachary Ross is Xavier Ross's ,father,Is Zachary Ross Xavier Ross's father?,yes,Is Zachary Ross Xavier Ross's niece?,no,Who is Zachary Ross to Xavier Ross?,father,398
Sebastian Foster is Samuel Foster's father.,Sebastian Foster is Samuel Foster's ,father,Is Sebastian Foster Samuel Foster's father?,yes,Is Sebastian Foster Samuel Foster's brother?,no,Who is Sebastian Foster to Samuel Foster?,father,399
